IdImc;IdMes;Lio;Mio;Sio;SD4nio;SD3nio;SD2nio;SD1nio;SD0io;SD1io;SD2io;SD3io;SD4io;Lia;Mia;Sia;SD4nia;SD3nia;SD2nia;SD1nia;SD0ia;SD1ia;SD2ia;SD3ia;SD4ia;Lpo;Mpo;Spo;Sdpo;SD3npo;SD2npo;SD1npo;SD0po;SD1po;SD2po;SD3po;Lpa;Mpa;Spa;Sdpa;SD3npa;SD2npa;SD1npa;SD0pa;SD1pa;SD2pa;SD3pa
145;144;-1.7751;17.5334;0.11522;12.328;13.391;14.453;15.788;17.533;19.946;23.581;29.957;36.333;-1.4006;17.9966;0.13129;11.912;13.151;14.391;15.953;17.997;20.806;24.967;31.91;38.854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;145;-1.7719;17.5877;0.11556;12.355;13.422;14.49;15.833;17.588;20.015;23.677;30.11;36.542;-1.3945;18.063;0.13158;11.942;13.189;14.436;16.008;18.063;20.889;25.072;32.047;39.023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;146;-1.7684;17.6427;0.1159;12.381;13.454;14.528;15.877;17.643;20.086;23.774;30.262;36.75;-1.3883;18.1297;0.13186;11.973;13.227;14.481;16.062;18.13;20.972;25.177;32.182;39.187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;147;-1.7645;17.6985;0.11623;12.408;13.487;14.566;15.923;17.698;20.157;23.871;30.412;36.952;-1.3819;18.1967;0.13214;12.003;13.265;14.526;16.117;18.197;21.055;25.282;32.316;39.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;148;-1.7604;17.7551;0.11656;12.436;13.52;14.605;15.969;17.755;20.229;23.969;30.561;37.154;-1.3755;18.2639;0.13241;12.034;13.303;14.572;16.172;18.264;21.138;25.387;32.448;39.509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;149;-1.7559;17.8124;0.11688;12.464;13.554;14.644;16.016;17.812;20.302;24.067;30.708;37.349;-1.3689;18.3312;0.13268;12.065;13.341;14.618;16.227;18.331;21.222;25.491;32.579;39.666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;150;-1.7511;17.8704;0.1172;12.492;13.588;14.684;16.063;17.87;20.375;24.165;30.854;37.543;-1.3621;18.3986;0.13295;12.095;13.379;14.663;16.282;18.399;21.305;25.596;32.708;39.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;151;-1.7461;17.9292;0.11751;12.52;13.622;14.724;16.112;17.929;20.449;24.263;30.998;37.732;-1.3553;18.466;0.13321;12.126;13.418;14.709;16.338;18.466;21.388;25.699;32.835;39.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;152;-1.7408;17.9887;0.11781;12.55;13.658;14.766;16.161;17.989;20.524;24.362;31.138;37.915;-1.3483;18.5333;0.13347;12.156;13.456;14.755;16.393;18.533;21.471;25.802;32.96;40.118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;153;-1.7352;18.0488;0.11811;12.579;13.693;14.807;16.21;18.049;20.599;24.46;31.278;38.096;-1.3413;18.6006;0.13372;12.187;13.494;14.8;16.448;18.601;21.554;25.905;33.083;40.261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;154;-1.7293;18.1096;0.11841;12.609;13.729;14.849;16.26;18.11;20.675;24.559;31.417;38.275;-1.3341;18.6677;0.13397;12.217;13.531;14.846;16.503;18.668;21.637;26.007;33.204;40.402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
156;155;-1.7232;18.171;0.11869;12.639;13.766;14.892;16.311;18.171;20.751;24.658;31.551;38.444;-1.3269;18.7346;0.13421;12.247;13.569;14.891;16.558;18.735;21.719;26.107;33.322;40.538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;156;-1.7168;18.233;0.11898;12.669;13.802;14.935;16.362;18.233;20.829;24.757;31.686;38.616;-1.3195;18.8012;0.13445;12.276;13.606;14.936;16.612;18.801;21.8;26.207;33.439;40.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
