Id;Semana;Dias;Meses;Año;Lpo;Mpo;Spo;S3npo;S2npo;S1npo;S0po;S1po;S2po;S3po;Lto;Mto;Sto;S3nto;S2nto;S1nto;S0to;S1to;S2to;S3to;Lpa;Mpa;Spa;S3npa;S2npa;S1npa;S0pa;S1pa;S2pa;S3pa;Lta;Mta;Sta;S3nta;S2nta;S1nta;S0ta;S1ta;S2ta;S3ta
11;-1;61;2;0.167;0.197;5.568;0.124;3.8;4.3;4.9;5.6;6.3;7.1;8;1;58.42;0.034;52.4;54.4;56.4;58.4;60.4;62.4;64.4;0.096;5.128;0.13;3.4;3.9;4.5;5.1;5.8;6.6;7.5;1;57.07;0.036;51;53;55;57.1;59.1;61.1;63.2
12;9;0;2;0.172;0.195;5.632;0.123;3.8;4.4;5;5.6;6.4;7.2;8;1;58.65;0.034;52.6;54.6;56.6;58.7;60.7;62.7;64.7;0.092;5.184;0.13;3.5;4;4.6;5.2;5.9;6.7;7.6;1;57.28;0.036;51.2;53.2;55.2;57.3;59.3;61.4;63.4
13;10;0;2;0.192;0.189;5.835;0.122;4;4.5;5.2;5.8;6.6;7.4;8.3;1;59.39;0.034;53.3;55.4;57.4;59.4;61.4;63.4;65.4;0.078;5.362;0.129;3.6;4.1;4.7;5.4;6.1;6.9;7.8;1;57.94;0.036;51.8;53.8;55.9;57.9;60;62.1;64.1
14;11;0;2;0.211;0.184;6.024;0.12;4.2;4.7;5.3;6;6.8;7.6;8.5;1;60.09;0.034;54;56;58.1;60.1;62.1;64.1;66.2;0.065;5.53;0.128;3.8;4.3;4.9;5.5;6.3;7.1;8.1;1;58.58;0.035;52.4;54.4;56.5;58.6;60.7;62.7;64.8
15;12;0;2;0.23;0.179;6.202;0.199;4.3;4.9;5.5;6.2;7;7.8;8.8;1;60.76;0.033;54.7;56.7;58.7;60.8;62.8;64.8;66.9;0.053;5.688;0.127;3.9;4.4;5;5.7;6.5;7.3;8.3;1;59.19;0.035;52.9;55;57.1;59.2;61.3;63.4;65.5
16;13;0;2;0.249;0.174;6.369;0.117;4.4;5;5.7;6.4;7.2;8;9;1;61.4;0.033;55.3;57.3;59.4;61.4;63.4;65.5;67.5;0.041;5.839;0.126;4;4.5;5.1;5.8;6.6;7.5;8.5;1;59.78;0.035;53.5;55.6;57.7;59.8;61.9;64;66.1
17;-1;91;3;0.25;0.174;6.376;0.117;4.4;5;5.7;6.4;7.2;8;9;1;61.43;0.033;55.3;57.3;59.4;61.4;63.5;65.5;67.6;0.04;5.846;0.126;4;4.5;5.2;5.8;6.6;7.5;8.5;1;59.8;0.035;53.5;55.6;57.7;59.8;61.9;64;66.1
18;-1;122;4;0.333;0.155;7.002;0.113;4.9;5.6;6.2;7;7.8;8.7;9.7;1;63.89;0.033;57.6;59.7;61.8;63.9;66;68;70.1;-0.005;6.424;0.124;4.4;5;5.7;6.4;7.3;8.2;9.3;1;62.09;0.035;55.6;57.8;59.9;62.1;64.3;66.4;68.6
19;-1;152;5;0.417;0.14;7.511;0.111;5.3;6;6.7;7.5;8.4;9.3;10.4;1;65.9;0.032;59.6;61.7;63.8;65.9;68;70.1;72.2;-0.043;6.899;0.123;4.8;5.4;6.1;6.9;7.8;8.8;10;1;64.03;0.035;57.4;59.6;61.8;64;66.2;68.5;70.7
20;-1;183;6;0.5;0.126;7.934;0.11;5.7;6.4;7.1;7.9;8.8;9.8;10.9;1;67.62;0.032;61.2;63.3;65.5;67.6;69.8;71.9;74;-0.076;7.297;0.122;5.1;5.7;6.5;7.3;8.2;9.3;10.6;1;65.73;0.034;58.9;61.2;63.5;65.7;68;70.3;72.5
